Patch_location,id_label
1.npy,5
2.npy,5
3.npy,0
4.npy,0
5.npy,0
6.npy,0
7.npy,0
8.npy,5
9.npy,0
10.npy,0
11.npy,0
12.npy,0
13.npy,0
14.npy,0
15.npy,0
16.npy,0
17.npy,0
18.npy,0
19.npy,0
20.npy,0
21.npy,0
22.npy,0
23.npy,0
24.npy,2
25.npy,2
26.npy,2
27.npy,1
28.npy,2
29.npy,2
30.npy,1
31.npy,2
32.npy,2
33.npy,1
34.npy,2
35.npy,1
36.npy,2
37.npy,2
38.npy,2
39.npy,2
40.npy,2
41.npy,2
42.npy,2
43.npy,2
44.npy,2
45.npy,2
46.npy,2
47.npy,2
48.npy,2
49.npy,2
50.npy,2
51.npy,2
52.npy,2
53.npy,2
54.npy,2
55.npy,2
56.npy,2
57.npy,2
58.npy,2
59.npy,2
60.npy,2
61.npy,5
62.npy,5
63.npy,5
64.npy,1
65.npy,5
66.npy,5
67.npy,5
68.npy,5
69.npy,5
70.npy,5
71.npy,5
72.npy,5
73.npy,5
74.npy,5
75.npy,5
76.npy,5
77.npy,2
78.npy,5
79.npy,1
80.npy,1
81.npy,1
82.npy,1
83.npy,1
84.npy,2
85.npy,2
86.npy,1
87.npy,1
88.npy,2
89.npy,2
90.npy,2
91.npy,2
92.npy,2
93.npy,2
94.npy,1
95.npy,1
96.npy,1
97.npy,1
98.npy,1
99.npy,1
100.npy,1
101.npy,2
102.npy,2
103.npy,2
104.npy,1
105.npy,2
106.npy,2
107.npy,1
108.npy,2
109.npy,2
110.npy,2
111.npy,2
112.npy,2
113.npy,2
114.npy,2
115.npy,2
116.npy,1
117.npy,2
118.npy,2
119.npy,2
120.npy,2
121.npy,2
122.npy,2
123.npy,2
124.npy,2
125.npy,1
126.npy,2
127.npy,2
128.npy,2
129.npy,2
130.npy,2
131.npy,2
132.npy,2
133.npy,2
134.npy,2
135.npy,1
136.npy,1
137.npy,1
138.npy,1
139.npy,2
140.npy,1
141.npy,1
142.npy,2
143.npy,2
144.npy,1
145.npy,2
146.npy,2
147.npy,2
148.npy,2
149.npy,2
150.npy,1
151.npy,2
152.npy,2
153.npy,2
154.npy,2
155.npy,2
156.npy,2
157.npy,2
158.npy,2
159.npy,2
160.npy,2
161.npy,2
162.npy,2
163.npy,2
164.npy,2
165.npy,2
166.npy,2
167.npy,5
168.npy,5
169.npy,5
170.npy,2
171.npy,2
172.npy,2
173.npy,2
174.npy,2
175.npy,2
176.npy,2
177.npy,2
178.npy,2
179.npy,2
180.npy,1
181.npy,1
182.npy,2
183.npy,1
184.npy,1
185.npy,2
186.npy,1
187.npy,2
188.npy,2
189.npy,1
190.npy,2
191.npy,2
192.npy,1
193.npy,1
194.npy,2
195.npy,2
196.npy,2
197.npy,2
198.npy,2
199.npy,1
200.npy,2
201.npy,1
202.npy,2
203.npy,1
204.npy,2
205.npy,2
206.npy,2
207.npy,2
208.npy,2
209.npy,2
210.npy,2
211.npy,2
212.npy,2
213.npy,2
214.npy,2
215.npy,2
216.npy,2
217.npy,2
218.npy,2
219.npy,2
220.npy,2
221.npy,2
222.npy,2
223.npy,2
224.npy,2
225.npy,2
226.npy,2
227.npy,2
228.npy,2
229.npy,0
230.npy,2
231.npy,2
232.npy,2
233.npy,2
234.npy,2
235.npy,2
236.npy,2
237.npy,2
238.npy,2
239.npy,2
240.npy,2
241.npy,2
242.npy,2
243.npy,2
244.npy,2
245.npy,1
246.npy,1
247.npy,2
248.npy,1
249.npy,2
250.npy,1
251.npy,1
252.npy,2
253.npy,1
254.npy,1
255.npy,1
256.npy,2
257.npy,1
258.npy,1
259.npy,2
260.npy,1
261.npy,1
262.npy,2
263.npy,2
264.npy,1
265.npy,1
266.npy,2
267.npy,1
268.npy,1
269.npy,2
270.npy,2
271.npy,2
272.npy,2
273.npy,2
274.npy,2
275.npy,2
276.npy,2
277.npy,2
278.npy,2
279.npy,2
280.npy,2
281.npy,2
282.npy,2
283.npy,2
284.npy,2
285.npy,2
286.npy,2
287.npy,2
288.npy,2
289.npy,2
290.npy,2
291.npy,2
292.npy,2
293.npy,2
294.npy,2
295.npy,2
296.npy,2
297.npy,2
298.npy,2
299.npy,2
300.npy,2
301.npy,2
302.npy,2
303.npy,2
304.npy,2
305.npy,2
306.npy,2
307.npy,2
308.npy,2
309.npy,2
310.npy,2
311.npy,2
312.npy,2
313.npy,2
314.npy,2
315.npy,1
316.npy,2
317.npy,1
318.npy,1
319.npy,1
320.npy,1
321.npy,2
322.npy,1
323.npy,1
324.npy,1
325.npy,1
326.npy,1
327.npy,1
328.npy,1
329.npy,2
330.npy,1
331.npy,2
332.npy,2
333.npy,1
334.npy,2
335.npy,2
336.npy,1
337.npy,2
338.npy,2
339.npy,1
340.npy,2
341.npy,2
342.npy,2
343.npy,2
344.npy,2
345.npy,2
346.npy,2
347.npy,2
348.npy,2
349.npy,2
350.npy,2
351.npy,0
352.npy,0
353.npy,0
354.npy,0
355.npy,0
356.npy,0
357.npy,0
358.npy,0
359.npy,0
360.npy,0
361.npy,0
362.npy,0
363.npy,0
364.npy,2
365.npy,2
366.npy,2
367.npy,2
368.npy,2
369.npy,2
370.npy,1
371.npy,2
372.npy,2
373.npy,1
374.npy,1
375.npy,1
376.npy,1
377.npy,1
378.npy,1
379.npy,2
380.npy,2
381.npy,2
382.npy,1
383.npy,1
384.npy,1
385.npy,1
386.npy,1
387.npy,1
388.npy,1
389.npy,1
390.npy,2
391.npy,2
392.npy,2
393.npy,1
394.npy,2
395.npy,2
396.npy,2
397.npy,2
398.npy,2
399.npy,2
400.npy,2
401.npy,2
402.npy,2
403.npy,2
404.npy,2
405.npy,2
406.npy,2
407.npy,2
408.npy,2
409.npy,2
410.npy,2
411.npy,2
412.npy,2
413.npy,2
414.npy,2
415.npy,0
416.npy,0
417.npy,0
418.npy,0
419.npy,0
420.npy,0
421.npy,0
422.npy,0
423.npy,0
424.npy,0
425.npy,0
426.npy,0
427.npy,0
428.npy,0
429.npy,2
430.npy,0
431.npy,2
432.npy,0
433.npy,2
434.npy,2
435.npy,2
436.npy,2
437.npy,2
438.npy,2
439.npy,2
440.npy,2
441.npy,2
442.npy,1
443.npy,1
444.npy,1
445.npy,1
446.npy,1
447.npy,1
448.npy,1
449.npy,1
450.npy,1
451.npy,1
452.npy,1
453.npy,1
454.npy,1
455.npy,1
456.npy,1
457.npy,1
458.npy,1
459.npy,1
460.npy,1
461.npy,1
462.npy,1
463.npy,1
464.npy,2
465.npy,2
466.npy,2
467.npy,2
468.npy,2
469.npy,2
470.npy,2
471.npy,2
472.npy,4
473.npy,2
474.npy,2
475.npy,2
476.npy,4
477.npy,4
478.npy,4
479.npy,4
480.npy,4
481.npy,4
482.npy,4
483.npy,0
484.npy,0
485.npy,0
486.npy,4
487.npy,4
488.npy,4
489.npy,4
490.npy,1
491.npy,0
492.npy,0
493.npy,1
494.npy,0
495.npy,1
496.npy,1
497.npy,1
498.npy,2
499.npy,1
500.npy,2
501.npy,1
502.npy,1
503.npy,2
504.npy,1
505.npy,1
506.npy,1
507.npy,2
508.npy,1
509.npy,2
510.npy,2
511.npy,2
512.npy,2
513.npy,2
514.npy,2
515.npy,2
516.npy,2
517.npy,2
518.npy,2
519.npy,2
520.npy,2
521.npy,2
522.npy,2
523.npy,2
524.npy,2
525.npy,2
526.npy,0
527.npy,0
528.npy,2
529.npy,2
530.npy,2
531.npy,2
532.npy,0
533.npy,0
534.npy,2
535.npy,2
536.npy,2
537.npy,2
538.npy,1
539.npy,2
540.npy,2
541.npy,2
542.npy,2
543.npy,2
544.npy,1
545.npy,2
546.npy,2
547.npy,1
548.npy,1
549.npy,1
550.npy,1
551.npy,2
552.npy,1
553.npy,1
554.npy,2
555.npy,2
556.npy,1
557.npy,1
558.npy,1
559.npy,2
560.npy,2
561.npy,1
562.npy,1
563.npy,2
564.npy,2
565.npy,1
566.npy,2
567.npy,2
568.npy,2
569.npy,2
570.npy,2
571.npy,2
572.npy,2
573.npy,2
574.npy,2
575.npy,2
